H [A/m] - Hystereschleife	
	B [T] - Hystereschleife
	H [A/m] - Neukurve
	B [T] - Neukurve
	
52,5299	0,0327176
52,6235	0,0330243
52,717	0,0333309
52,717	0,0336372
52,8106	0,0339433
52,9977	0,0342494
52,9041	0,0345549
53,0912	0,0348597
53,2784	0,035164
53,2784	0,0354677
53,2784	0,035771
53,4655	0,036074
53,559	0,0363767
53,5122	0,0366791
53,559	0,0369813
53,7461	0,0372831
53,7929	0,0375844
53,8397	0,0378851
53,98	0,0381853
54,1203	0,0384847
54,1203	0,0387837
54,1203	0,0390823
54,3074	0,0393808
54,2607	0,0396791
54,3074	0,0399772
54,401	0,040275
54,6349	0,0405723
54,5881	0,040869
54,5413	0,0411649
54,822	0,04146
54,8688	0,0417548
54,9155	0,0420492
54,9623	0,0423433
55,0559	0,0426372
55,1026	0,0429308
55,1026	0,0432237
55,3833	0,0435158
55,4301	0,0438072
55,3365	0,0440982
55,5236	0,0443887
55,7107	0,0446789
55,7107	0,0449686
55,6172	0,0452577
55,8043	0,045546
55,8511	0,0458335
55,8511	0,0461204
55,8978	0,0464069
56,1785	0,046693
56,0849	0,0469789
56,0382	0,0472644
56,272	0,0475492
56,3188	0,0478336
56,272	0,0481172
56,4124	0,0484
56,4592	0,0486824
56,5059	0,0489646
56,4592	0,0492464
56,6463	0,0495277
56,5995	0,0498085
56,693	0,0500885
56,7866	0,0503676
56,8801	0,050646
56,9737	0,0509241
56,9269	0,0512019
57,0205	0,0514794
57,114	0,0517562
57,0672	0,052032
57,2076	0,052307
57,3011	0,0525814
57,2076	0,0528554
57,3011	0,053129
57,3479	0,053402
57,3479	0,0536749
57,3479	0,053947
57,4882	0,0542181
57,6753	0,0544883
57,6286	0,0547581
57,7689	0,0550276
57,8157	0,0552965
57,8157	0,0555647
57,8624	0,055832
57,9092	0,0560983
57,9092	0,0563641
58,0028	0,0566296
58,0028	0,0568946
58,0496	0,057159
58,0028	0,0574225
58,0963	0,0576851
58,1431	0,0579469
58,0963	0,0582083
58,1899	0,0584696
58,2367	0,0587305
58,377	0,0589903
58,3302	0,0592491
58,3302	0,0595069
58,4705	0,0597642
58,5173	0,0600214
58,4705	0,0602782
58,4705	0,0605342
58,5641	0,0607892
58,6576	0,0610432
58,7044	0,0612966
58,6576	0,0615497
58,7512	0,061802
58,7044	0,0620533
58,798	0,0623035
58,7512	0,062553
58,8447	0,0628021
58,8447	0,0630508
58,8447	0,0632992
58,8915	0,0635471
58,8915	0,063794
58,9383	0,0640398
59,0319	0,0642849
59,0786	0,0645295
59,0319	0,0647731
59,0786	0,0650157
59,1254	0,0652575
59,1254	0,0654985
59,219	0,0657391
59,219	0,0659793
59,2657	0,0662184
59,219	0,0664563
59,2657	0,0666935
59,4061	0,0669303
59,3125	0,0671667
59,3125	0,0674022
59,3593	0,0676364
59,3593	0,0678697
59,3125	0,0681026
59,4061	0,0683346
59,4061	0,0685658
59,4528	0,0687959
59,3593	0,069025
59,4528	0,0692536
59,4996	0,0694819
59,4061	0,0697097
59,4996	0,0699366
59,5464	0,0701624
59,5464	0,0703873
59,4528	0,0706118
59,5932	0,0708357
59,5464	0,0710588
59,5464	0,0712807
59,6399	0,0715017
59,6867	0,0717224
59,6399	0,0719426
59,6399	0,0721621
59,7335	0,0723804
59,5932	0,0725977
59,6399	0,0728143
59,7335	0,0730299
59,6867	0,0732447
59,6867	0,0734584
59,6399	0,0736711
59,7803	0,0738832
59,6867	0,0740949
59,5932	0,0743058
59,8271	0,0745155
59,7803	0,0747242
59,7335	0,0749324
59,6867	0,07514
59,8271	0,0753467
59,7803	0,0755523
59,7335	0,0757569
59,7803	0,0759609
59,7803	0,0761642
59,7335	0,0763664
59,7335	0,0765673
59,8271	0,0767673
59,7335	0,0769669
59,5932	0,0771657
59,7335	0,0773634
59,7335	0,0775602
59,6399	0,0777562
59,5932	0,0779516
59,7335	0,0781462
59,6399	0,0783395
59,6399	0,0785318
59,7335	0,0787235
59,6867	0,0789143
59,6399	0,079104
59,5932	0,0792928
59,7803	0,0794809
59,6399	0,0796682
59,5932	0,0798549
59,5932	0,0800404
59,6399	0,0802246
59,6399	0,0804082
59,5464	0,080591
59,6399	0,0807725
59,5932	0,0809529
59,5932	0,0811326
59,4996	0,081312
59,6399	0,0814906
59,5464	0,0816678
59,4528	0,0818436
59,4996	0,0820189
59,4528	0,0821938
59,4996	0,0823679
59,4061	0,0825407
59,4996	0,0827122
59,5464	0,082883
59,4061	0,0830528
59,4061	0,0832214
59,4061	0,083389
59,4061	0,083556
59,2657	0,0837225
59,3593	0,0838879
59,4061	0,0840519
59,219	0,084215
59,219	0,0843774
59,2657	0,0845389
59,1254	0,0846993
59,1722	0,0848586
59,219	0,0850174
59,0786	0,0851753
58,9851	0,085332
59,0786	0,0854873
58,9851	0,0856421
58,9851	0,0857962
58,9851	0,0859491
58,9383	0,0861008
58,8915	0,0862514
58,8447	0,0864014
58,9383	0,0865504
58,9383	0,086698
58,798	0,0868448
58,798	0,0869908
58,7512	0,0871361
58,7512	0,0872801
58,5641	0,0874229
58,6576	0,0875649
58,6109	0,0877057
58,5641	0,0878452
58,5173	0,0879839
58,4705	0,0881221
58,5173	0,0882592
58,3302	0,0883949
58,3302	0,0885295
58,4238	0,0886636
58,2367	0,0887968
58,2367	0,0889287
58,1899	0,0890594
58,0963	0,0891895
58,0963	0,0893192
58,0963	0,0894475
58,0496	0,0895743
57,956	0,0897002
57,9092	0,0898254
57,9092	0,0899492
57,8157	0,0900717
57,8157	0,0901936
57,7689	0,0903147
57,6753	0,0904343
57,6286	0,0905528
57,5818	0,0906706
57,4415	0,0907872
57,4415	0,0909024
57,3479	0,0910165
57,3479	0,09113
57,3011	0,091243
57,2544	0,0913546
57,114	0,0914649
57,2076	0,0915742
57,0672	0,0916828
56,9737	0,0917904
56,8801	0,0918966
56,9737	0,0920021
56,7398	0,092107
56,693	0,0922103
56,5995	0,0923122
56,5995	0,0924134
56,5527	0,0925135
56,4592	0,0926122
56,4592	0,0927099
56,3188	0,0928069
56,3188	0,0929028
56,3656	0,0929973
56,3188	0,0930907
56,0849	0,0931835
56,1317	0,0932754
56,0849	0,093366
55,8978	0,0934553
55,8043	0,0935437
55,8043	0,0936309
55,7575	0,0937167
55,7107	0,0938017
55,5704	0,0938861
55,5704	0,0939693
55,3833	0,0940511
55,243	0,0941321
55,2897	0,0942122
55,1026	0,0942911
54,9623	0,0943688
54,9623	0,0944457
54,9155	0,0945218
54,7752	0,0945968
54,6816	0,0946705
54,6349	0,0947433
54,6349	0,0948153
54,4945	0,094886
54,401	0,0949552
54,3542	0,0950236
54,2139	0,0950912
54,1671	0,0951576
54,1203	0,0952228
53,98	0,0952873
53,8864	0,0953509
53,8397	0,0954131
53,6993	0,0954742
53,559	0,0955344
53,6058	0,0955935
53,4655	0,0956513
53,3719	0,0957079
53,2316	0,0957634
53,2316	0,0958178
53,2316	0,095871
52,9509	0,0959233
52,9041	0,095975
52,8574	0,0960255
52,717	0,0960746
52,5767	0,0961226
52,5767	0,0961698
52,4832	0,0962158
